date,code,open,high,low,close,volume,amount
2019/1/2,sh.000905,4176.109,4179.723,4125.935,4131.956,4749444864,35572462336
2019/1/3,sh.000905,4131.694,4182.198,4110.527,4112.807,5549124352,41103713280
2019/1/4,sh.000905,4075.621,4210.878,4071.689,4210.878,7344873728,52230681344
2019/1/7,sh.000905,4235.034,4297.023,4223.458,4288.323,8115344896,59231303936
2019/1/8,sh.000905,4278.28,4289.627,4264.6,4277.296,6955693824,49700132352
2019/1/9,sh.000905,4286.231,4354.198,4280.655,4288.771,8515359488,61510931968
2019/1/10,sh.000905,4289.559,4319.494,4274.195,4281.86,6891088896,49243142144
2019/1/11,sh.000905,4282.393,4316.541,4267.288,4314.875,6835508480,46599960064
2019/1/14,sh.000905,4317.523,4325.947,4278.761,4286.547,6767961344,44765955584
2019/1/15,sh.000905,4282.986,4350.933,4271.636,4347.355,7200518144,50608143360
2019/1/16,sh.000905,4347.075,4364.096,4330.743,4336.877,6927474432,50030063872
2019/1/17,sh.000905,4334.63,4347.178,4297.668,4303.73,7456211200,48421136128
2019/1/18,sh.000905,4307.138,4351.438,4297.477,4347.811,8337161216,55476936192
2019/1/21,sh.000905,4354.699,4395.063,4352.81,4373.633,7278153216,52937642752
2019/1/22,sh.000905,4370.856,4370.856,4291.962,4308.251,6949667328,47826602496
2019/1/23,sh.000905,4298.938,4322.889,4292.087,4315.684,5848573440,40571874304
2019/1/24,sh.000905,4318.709,4363.218,4292.829,4338.17,7063030528,51572057856
2019/1/25,sh.000905,4341.413,4359.463,4315.952,4318.441,7165747712,52504910592
2019/1/28,sh.000905,4341.492,4370.898,4297.963,4307.219,6727993600,49287478016
2019/1/29,sh.000905,4301.469,4301.469,4188.594,4254.287,7775372800,54223809280
2019/1/30,sh.000905,4235.274,4266.881,4211.19,4211.623,5851376896,42466758400
2019/1/31,sh.000905,4203.977,4240.716,4151.414,4176.473,7151120384,47694716160
2019/2/1,sh.000905,4189.109,4295.037,4189.109,4294.269,6609967616,47693471488
2019/2/11,sh.000905,4306.2,4403.728,4306.2,4402.866,7529735680,56743679232
