date,breadth
2020/12/17,26.2
2020/12/18,27.4
2020/12/2,61
2020/12/21,36
2020/12/22,24.4
2020/12/23,27.6
2020/12/24,24
2020/12/25,29.6
2020/12/28,28.8
2020/12/29,26
2020/12/3,58.4
2020/12/30,32.6
2020/12/31,39.4
2020/12/4,58.6
2020/12/7,44.6
2020/12/8,41.2
2020/12/9,25.2
2020/2/10,28.8
2020/2/11,27.8
2020/2/12,32.4
2020/2/13,29.8
2020/2/14,31
2020/2/17,50.6
2020/2/18,57.6
2020/2/19,55.2
2020/2/20,79.8
2020/2/21,85.6
2020/2/24,77.8
2020/2/25,67.6
2020/2/26,73.6
2020/2/27,76.6
2020/2/28,34.4
2020/2/3,9.4
2020/2/4,15.8
2020/2/5,19.8
2020/2/6,24.8
2020/2/7,26.4
2020/3/10,54
2020/3/11,43.6
2020/3/12,24.6
2020/3/13,21.2
2020/3/16,9.8
2020/3/17,10.6
2020/3/18,7.8
2020/3/19,9.2
2020/3/2,61
2020/3/20,12.4
2020/3/23,7.2
2020/3/24,12.8
2020/3/25,17.2
2020/3/26,15.2
2020/3/27,15
2020/3/3,65.8
2020/3/30,13.2
2020/3/31,15.6
2020/3/4,68.2
2020/3/5,76.6
2020/3/6,72.6
2020/3/9,38.4
2020/4/1,14.4
2020/4/10,44.4
2020/4/13,40.2
2020/4/14,61.6
2020/4/15,55
2020/4/16,56.6
2020/4/17,58.8
2020/4/2,21.8
2020/4/20,65.8
2020/4/21,51.6
2020/4/22,59.6
2020/4/23,55.4
2020/4/24,41.6
2020/4/27,41.4
2020/4/28,33.8
2020/4/29,35.8
2020/4/3,23.6
2020/4/30,47.2
2020/4/7,44
2020/4/8,52.2
2020/4/9,65
2020/5/11,63
2020/5/12,59.4
2020/5/13,59
2020/5/14,51.4
2020/5/15,53
2020/5/18,48.4
2020/5/19,56.4
2020/5/20,49
2020/5/21,40.6
2020/5/22,29.8
2020/5/25,29.2
2020/5/26,40.2
2020/5/27,34.6
2020/5/28,37
2020/5/29,37.6
2020/5/6,57.4
2020/5/7,53.8
2020/5/8,64.4
2020/6/1,65
2020/6/10,63
2020/6/11,52.6
2020/6/12,52
2020/6/15,47.2
2020/6/16,68.4
2020/6/17,68.6
2020/6/18,74.8
2020/6/19,79.6
2020/6/2,71.6
2020/6/22,73.4
2020/6/23,65
2020/6/24,61.6
2020/6/29,50.2
2020/6/3,67.6
2020/6/30,60.6
2020/6/4,66.8
2020/6/5,68.2
2020/6/8,67.8
2020/6/9,70.4
2020/7/1,67.2
2020/7/10,98.8
2020/7/13,99.4
2020/7/14,98
2020/7/15,95
2020/7/16,69.2
2020/7/17,62
2020/7/2,85.6
2020/7/20,77.6
2020/7/21,80.4
2020/7/22,82.2
2020/7/23,72
2020/7/24,35.4
2020/7/27,32.2
2020/7/28,33.6
2020/7/29,46.2
2020/7/3,92
2020/7/30,43
2020/7/31,42.8
2020/7/6,95.2
2020/7/7,97
2020/7/8,96.6
2020/7/9,98.8
2020/8/10,58.2
2020/8/11,43.2
2020/8/12,38.4
2020/8/13,43.4
2020/8/14,54
2020/8/17,72.6
2020/8/18,76.4
2020/8/19,60.4
2020/8/20,50.4
2020/8/21,53.6
2020/8/24,55.6
2020/8/25,46
2020/8/26,29.2
2020/8/27,34
2020/8/28,45.4
2020/8/3,65.2
2020/8/31,42.2
2020/8/4,58.2
2020/8/5,60
2020/8/6,61
2020/8/7,46.6
2020/9/1,45
2020/9/10,15.2
2020/9/11,16.6
2020/9/14,18.2
2020/9/15,22
2020/9/16,21.6
2020/9/17,25
2020/9/18,37.2
2020/9/2,44.6
2020/9/21,36.6
2020/9/22,25.2
2020/9/23,27.2
2020/9/24,14.8
2020/9/25,17.4
2020/9/28,14
2020/9/29,17.4
2020/9/3,41.6
2020/9/30,15.6
2020/9/4,37.2
2020/9/7,28.6
2020/9/8,34.8
2020/9/9,29.2
2021/1/11,34.6
2021/1/12,42.4
2021/1/13,39.8
2021/1/14,42.2
2021/1/15,40.2
2021/1/18,46.4
2021/1/19,49.4
2021/1/20,45.6
2021/1/21,51.6
2021/1/22,41
2021/1/25,39
2021/1/26,32.2
2021/1/27,34.4
2021/1/28,28.6
2021/1/29,24.6
2021/1/4,45.6
2021/1/5,50.6
2021/1/6,48.6
2021/1/7,41
2021/1/8,47
2021/10/11,31.86
2021/10/12,23.65
2021/10/13,27.05
2021/10/14,25.85
2021/10/15,23.25
2021/10/18,23.85
2021/10/19,29.26
2021/10/20,28.86
2021/10/21,31.86
2021/10/22,32.46
2021/10/25,31.66
2021/10/26,33.27
2021/10/27,28.66
2021/10/28,25.05
2021/10/29,30.86
2021/10/8,29.66
2021/11/1,35
2021/11/10,46.2
2021/11/11,51.8
2021/11/12,52.4
2021/11/15,57.2
2021/11/16,53.2
2021/11/17,54.2
2021/11/18,50
2021/11/19,63.2
2021/11/2,34
2021/11/22,65.8
2021/11/23,67.2
2021/11/24,70.2
2021/11/25,66.6
2021/11/26,58.2
2021/11/29,48.6
2021/11/3,38
2021/11/30,53.4
2021/11/4,42.2
2021/11/5,40.8
2021/11/8,42.8
2021/11/9,46
2021/12/1,63.8
2021/12/10,64.2
2021/12/13,69.2
2021/12/14,58.8
2021/12/15,58.4
2021/12/16,64.8
2021/12/17,58.4
2021/12/2,60.6
2021/12/20,49
2021/12/21,58.4
2021/12/22,61.8
2021/12/23,65.2
2021/12/24,55.2
2021/12/27,54
2021/12/28,53.8
2021/12/29,48.2
2021/12/3,67
2021/12/30,54.6
2021/12/31,61.8
2021/12/6,56.4
2021/12/7,54.6
2021/12/8,61
2021/12/9,68
2021/2/1,27.8
2021/2/10,32.4
2021/2/18,47
2021/2/19,71
2021/2/2,30.2
2021/2/22,71.6
2021/2/23,70.4
2021/2/24,70
2021/2/25,68.4
2021/2/26,60
2021/2/3,27.2
2021/2/4,24
2021/2/5,22.8
2021/2/8,26.2
2021/2/9,31
2021/3/1,68.6
2021/3/10,36.6
2021/3/11,46.6
2021/3/12,45.2
2021/3/15,44.6
2021/3/16,46.8
2021/3/17,48.6
2021/3/18,47.6
2021/3/19,41.6
2021/3/2,67.4
2021/3/22,53.2
2021/3/23,46.6
2021/3/24,38.2
2021/3/25,40.4
2021/3/26,48.2
2021/3/29,49
2021/3/3,73.2
2021/3/30,43.4
2021/3/31,44.2
2021/3/4,70.6
2021/3/5,72
2021/3/8,64
2021/3/9,49.4
2021/4/1,51.6
2021/4/12,38
2021/4/13,32.6
2021/4/14,38.2
2021/4/15,39.2
2021/4/16,55.6
2021/4/19,63.8
2021/4/2,49.4
2021/4/20,59.2
2021/4/21,57.4
2021/4/22,57.4
2021/4/23,51.2
2021/4/26,47
2021/4/27,42.6
2021/4/28,46
2021/4/29,46
2021/4/30,38.6
2021/4/6,56.4
2021/4/7,58
2021/4/8,51.4
2021/4/9,46.6
2021/5/10,43.4
2021/5/11,47.8
2021/5/12,52.2
2021/5/13,47.4
2021/5/14,62
2021/5/17,56
2021/5/18,56.8
2021/5/19,52.4
2021/5/20,47.4
2021/5/21,47.8
2021/5/24,51.4
2021/5/25,61.2
2021/5/26,69
2021/5/27,69.4
2021/5/28,63.2
2021/5/31,63.4
2021/5/6,44.2
2021/5/7,43.2
2021/6/1,65
2021/6/10,52
2021/6/11,47.2
2021/6/15,37.2
2021/6/16,31.6
2021/6/17,34.2
2021/6/18,35.2
2021/6/2,61
2021/6/21,39.2
2021/6/22,43.2
2021/6/23,45.2
2021/6/24,45
2021/6/25,53.4
2021/6/28,48
2021/6/29,39.4
2021/6/3,57.2
2021/6/30,44.4
2021/6/4,53
2021/6/7,53
2021/6/8,51.4
2021/6/9,51.6
2021/7/1,36.2
2021/7/12,47.4
2021/7/13,52.2
2021/7/14,48.8
2021/7/15,47.6
2021/7/16,48.4
2021/7/19,45.6
2021/7/2,29.6
2021/7/20,44.6
2021/7/21,47.6
2021/7/22,50.4
2021/7/23,47.2
2021/7/26,37.6
2021/7/27,32
2021/7/28,22.8
2021/7/29,31.8
2021/7/30,32
2021/7/5,32.8
2021/7/6,35.6
2021/7/7,37
2021/7/8,33.2
2021/7/9,40.2
2021/8/10,52.8
2021/8/11,56.4
2021/8/12,59
2021/8/13,59
2021/8/16,62.6
2021/8/17,48.4
2021/8/18,54.8
2021/8/19,53.2
2021/8/2,38.6
2021/8/20,46.4
2021/8/23,56.8
2021/8/24,58.6
2021/8/25,64
2021/8/26,59.8
2021/8/27,60
2021/8/3,39.4
2021/8/30,57.6
2021/8/31,60.2
2021/8/4,44.6
2021/8/5,41
2021/8/6,40.2
2021/8/9,47
2021/9/1,64.2
2021/9/10,79.4
2021/9/13,78
2021/9/14,72.95
2021/9/15,69.54
2021/9/16,58.72
2021/9/17,50.3
2021/9/2,68
