date,code,open,high,low,close,volume,amount,ETF_Turnover,new_high_pct
2019-01-02,sh.000905,4176.109,4179.723,4125.935,4131.956,4749444864.0,35572462336.0,0.85,0.0
2019-01-03,sh.000905,4131.694,4182.198,4110.527,4112.807,5549124352.0,41103713280.0,0.94,0.0
2019-01-04,sh.000905,4075.621,4210.878,4071.689,4210.878,7344873728.0,52230681344.0,1.3,0.0
2019-01-07,sh.000905,4235.034,4297.023,4223.458,4288.323,8115344896.0,59231303936.0,1.22,0.0
2019-01-08,sh.000905,4278.28,4289.627,4264.6,4277.296,6955693824.0,49700132352.0,0.66,0.0
2019-01-09,sh.000905,4286.231,4354.198,4280.655,4288.771,8515359488.0,61510931968.0,1.92,0.0
2019-01-10,sh.000905,4289.559,4319.494,4274.195,4281.86,6891088896.0,49243142144.0,0.88,0.0
2019-01-11,sh.000905,4282.393,4316.541,4267.288,4314.875,6835508480.0,46599960064.0,0.9,0.0
2019-01-14,sh.000905,4317.523,4325.947,4278.761,4286.547,6767961344.0,44765955584.0,0.54,0.0
2019-01-15,sh.000905,4282.986,4350.933,4271.636,4347.355,7200518144.0,50608143360.0,1.2,0.0
2019-01-16,sh.000905,4347.075,4364.096,4330.743,4336.877,6927474432.0,50030063872.0,0.81,0.0
2019-01-17,sh.000905,4334.63,4347.178,4297.668,4303.73,7456211200.0,48421136128.0,0.76,0.0
2019-01-18,sh.000905,4307.138,4351.438,4297.477,4347.811,8337161216.0,55476936192.0,1.14,0.0
2019-01-21,sh.000905,4354.699,4395.063,4352.81,4373.633,7278153216.0,52937642752.0,1.1,0.0
2019-01-22,sh.000905,4370.856,4370.856,4291.962,4308.251,6949667328.0,47826602496.0,0.94,0.0
2019-01-23,sh.000905,4298.938,4322.889,4292.087,4315.684,5848573440.0,40571874304.0,0.6,0.0
2019-01-24,sh.000905,4318.709,4363.218,4292.829,4338.17,7063030528.0,51572057856.0,0.96,0.0
2019-01-25,sh.000905,4341.413,4359.463,4315.952,4318.441,7165747712.0,52504910592.0,0.82,0.0
2019-01-28,sh.000905,4341.492,4370.898,4297.963,4307.219,6727993600.0,49287478016.0,1.04,0.0
2019-01-29,sh.000905,4301.469,4301.469,4188.594,4254.287,7775372800.0,54223809280.0,1.42,0.0
2019-01-30,sh.000905,4235.274,4266.881,4211.19,4211.623,5851376896.0,42466758400.0,0.93,0.0
2019-01-31,sh.000905,4203.977,4240.716,4151.414,4176.473,7151120384.0,47694716160.0,1.63,0.0
2019-02-01,sh.000905,4189.109,4295.037,4189.109,4294.269,6609967616.0,47693471488.0,1.9,0.0
2019-02-11,sh.000905,4306.2,4403.728,4306.2,4402.866,7529735680.0,56743679232.0,1.47,0.0
2019-02-12,sh.000905,4398.442,4452.5,4394.833,4439.485,8527115520.0,61588925184.0,1.37,0.0
2019-02-13,sh.000905,4442.727,4526.269,4433.027,4512.408,11321890304.0,82940465152.0,1.61,0.0
