date,close,turnover
2019-01-02,2.702,1.77
2019-01-03,2.708,1.46
2019-01-04,2.757,2.55
2019-01-07,2.754,1.38
2019-01-08,2.747,0.91
2019-01-09,2.772,2.4
2019-01-10,2.775,1.26
2019-01-11,2.794,1.43
2019-01-14,2.772,1.02
2019-01-15,2.817,2.69
2019-01-16,2.821,1.11
2019-01-17,2.812,0.93
2019-01-18,2.856,1.46
2019-01-21,2.871,1.25
2019-01-22,2.843,1.44
2019-01-23,2.839,1.28
2019-01-24,2.85,1.28
2019-01-25,2.88,1.97
2019-01-28,2.877,1.08
2019-01-29,2.895,1.35
2019-01-30,2.884,1.05
2019-01-31,2.921,1.65
2019-02-01,2.939,1.18
2019-02-11,2.963,1.46
2019-02-12,2.971,0.97
2019-02-13,3.018,1.63
2019-02-14,3.014,1.66
2019-02-15,2.958,1.99
2019-02-18,3.018,2.74
2019-02-19,3.014,2.52
2019-02-20,3.024,1.15
2019-02-21,3.013,2.39
2019-02-22,3.065,1.96
2019-02-25,3.263,4.4
2019-02-26,3.175,4.19
2019-02-27,3.183,3.16
2019-02-28,3.183,1.7
2019-03-01,3.249,2.36
2019-03-04,3.262,3.63
2019-03-05,3.26,2.09
2019-03-06,3.267,2.99
2019-03-07,3.22,2.54
2019-03-08,3.122,2.67
2019-03-11,3.137,2.44
2019-03-12,3.148,3.09
2019-03-13,3.153,3.07
2019-03-14,3.157,2.5
2019-03-15,3.187,2.99
2019-03-18,3.259,3.11
2019-03-19,3.237,1.92
2019-03-20,3.241,2.45
2019-03-21,3.231,1.89
2019-03-22,3.224,1.73
2019-03-25,3.149,3.21
2019-03-26,3.139,2.08
2019-03-27,3.17,2.44
2019-03-28,3.165,1.38
2019-03-29,3.266,3.25
2019-04-01,3.321,2.81
2019-04-02,3.319,2.14
2019-04-03,3.348,1.89
2019-04-04,3.386,1.77
2019-04-08,3.39,2.18
2019-04-09,3.396,2.11
2019-04-10,3.411,2.78
2019-04-11,3.359,1.84
2019-04-12,3.353,1.75
2019-04-15,3.353,3.11
2019-04-16,3.455,3.25
2019-04-17,3.444,2.47
2019-04-18,3.434,1.42
2019-04-19,3.471,3.55
2019-04-22,3.405,3.41
2019-04-23,3.41,2.2
2019-04-24,3.405,2.35
2019-04-25,3.36,2.89
2019-04-26,3.327,2.71
2019-04-29,3.368,2.38
2019-04-30,3.375,1.59
2019-05-06,3.234,4.56
2019-05-07,3.237,2.81
2019-05-08,3.192,2.22
2019-05-09,3.133,2.88
2019-05-10,3.224,6.07
2019-05-13,3.172,1.75
2019-05-14,3.155,2.73
2019-05-15,3.212,2.56
2019-05-16,3.221,1.52
2019-05-17,3.17,3.21
2019-05-20,3.146,3.05
2019-05-21,3.169,3.37
2019-05-22,3.156,2.24
2019-05-23,3.124,1.92
2019-05-24,3.138,1.46
2019-05-27,3.161,1.86
2019-05-28,3.18,2.6
2019-05-29,3.195,1.63
2019-05-30,3.184,1.03
2019-05-31,3.175,1.06
2019-06-03,3.187,1.47
2019-06-04,3.169,1.36
2019-06-05,3.165,1.23
2019-06-06,3.151,1.07
2019-06-10,3.186,2.18
2019-06-11,3.261,2.74
2019-06-12,3.249,1.33
2019-06-13,3.243,1.42
2019-06-14,3.237,1.05
2019-06-17,3.246,0.91
2019-06-18,3.257,1.11
2019-06-19,3.303,1.92
2019-06-20,3.401,4.05
2019-06-21,3.4,2.66
2019-06-24,3.406,1.26
