date,close,turnover
2019-01-02,1.236,1.03
2019-01-03,1.233,1.14
2019-01-04,1.267,1.57
2019-01-07,1.288,1.48
2019-01-08,1.286,0.8
2019-01-09,1.285,2.32
2019-01-10,1.287,1.06
2019-01-11,1.294,1.09
2019-01-14,1.287,0.65
2019-01-15,1.305,1.45
2019-01-16,1.303,0.97
2019-01-17,1.292,0.92
2019-01-18,1.306,1.38
2019-01-21,1.311,1.33
2019-01-22,1.292,1.13
2019-01-23,1.293,0.73
2019-01-24,1.302,1.16
2019-01-25,1.296,0.99
2019-01-28,1.291,1.26
2019-01-29,1.274,1.72
2019-01-30,1.265,1.12
2019-01-31,1.257,1.97
2019-02-01,1.295,2.3
2019-02-11,1.323,1.78
2019-02-12,1.33,1.66
2019-02-13,1.354,1.94
2019-02-14,1.36,1.22
2019-02-15,1.35,1.41
2019-02-18,1.403,2.02
2019-02-19,1.397,2.02
2019-02-20,1.394,1.38
2019-02-21,1.396,1.91
2019-02-22,1.44,1.42
2019-02-25,1.536,3.68
2019-02-26,1.515,2.81
2019-02-27,1.503,2.32
2019-02-28,1.505,1.52
2019-03-01,1.523,2.05
2019-03-04,1.543,2.33
2019-03-05,1.588,1.94
2019-03-06,1.619,3.65
2019-03-07,1.633,3.09
2019-03-08,1.579,3.63
2019-03-11,1.637,2.85
2019-03-12,1.663,2.69
2019-03-13,1.624,3.19
2019-03-14,1.586,2.01
2019-03-15,1.603,2.08
2019-03-18,1.655,1.85
2019-03-19,1.652,1.2
2019-03-20,1.652,1.62
2019-03-21,1.67,1.88
2019-03-22,1.688,1.75
2019-03-25,1.664,1.64
2019-03-26,1.614,2.48
2019-03-27,1.634,1.69
2019-03-28,1.611,1.29
2019-03-29,1.666,2.85
2019-04-01,1.732,1.9
2019-04-02,1.73,1.9
2019-04-03,1.75,1.52
2019-04-04,1.766,1.49
2019-04-08,1.746,2.05
2019-04-09,1.754,1.49
2019-04-10,1.75,1.47
2019-04-11,1.72,1.47
2019-04-12,1.716,1.19
2019-04-15,1.693,1.79
2019-04-16,1.733,1.98
2019-04-17,1.736,1.45
2019-04-18,1.73,0.88
2019-04-19,1.745,1.22
2019-04-22,1.716,1.05
2019-04-23,1.684,1.13
2019-04-24,1.701,1.79
2019-04-25,1.64,1.58
2019-04-26,1.625,1.71
2019-04-29,1.585,3.11
2019-04-30,1.59,2.0
2019-05-06,1.473,4.04
2019-05-07,1.486,2.46
2019-05-08,1.479,1.86
2019-05-09,1.469,1.9
2019-05-10,1.518,2.92
2019-05-13,1.496,1.89
2019-05-14,1.49,1.26
2019-05-15,1.52,1.37
2019-05-16,1.534,2.85
2019-05-17,1.486,1.38
2019-05-20,1.475,1.56
2019-05-21,1.499,1.71
2019-05-22,1.494,1.15
2019-05-23,1.466,1.25
2019-05-24,1.457,1.55
2019-05-27,1.489,2.15
2019-05-28,1.486,1.55
2019-05-29,1.487,1.78
2019-05-30,1.482,1.05
2019-05-31,1.475,1.1
2019-06-03,1.463,1.19
2019-06-04,1.444,1.73
2019-06-05,1.439,1.25
2019-06-06,1.406,1.7
2019-06-10,1.421,1.56
2019-06-11,1.48,2.04
2019-06-12,1.464,1.43
2019-06-13,1.469,1.09
2019-06-14,1.447,1.23
2019-06-17,1.446,1.12
2019-06-18,1.443,1.15
2019-06-19,1.462,3.66
2019-06-20,1.492,3.28
2019-06-21,1.512,3.75
2019-06-24,1.511,1.68
2019-06-25,1.496,2.18
2019-06-26,1.496,1.12
2019-06-27,1.509,1.58
2019-06-28,1.495,1.55
2019-07-01,1.536,2.38
2019-07-02,1.531,1.79
2019-07-03,1.522,1.4
2019-07-04,1.515,1.12
2019-07-05,1.523,0.98
2019-07-08,1.469,1.85
2019-07-09,1.471,1.19
2019-07-10,1.462,1.12
2019-07-11,1.463,1.22
2019-07-12,1.47,0.94
2019-07-15,1.486,2.32
2019-07-16,1.49,0.97
2019-07-17,1.487,0.86
2019-07-18,1.466,0.95
2019-07-19,1.475,1.48
2019-07-22,1.447,1.54
2019-07-23,1.457,0.98
2019-07-24,1.471,1.42
2019-07-25,1.478,1.06
2019-07-26,1.482,0.99
2019-07-29,1.48,0.83
2019-07-30,1.489,1.1
2019-07-31,1.485,1.12
2019-08-01,1.475,1.12
2019-08-02,1.455,1.74
2019-08-05,1.439,1.76
2019-08-06,1.405,3.27
2019-08-07,1.399,1.34
2019-08-08,1.407,1.29
2019-08-09,1.394,1.38
2019-08-12,1.419,1.16
2019-08-13,1.41,0.87
2019-08-14,1.416,1.33
2019-08-15,1.423,1.58
2019-08-16,1.427,1.46
2019-08-19,1.48,1.65
2019-08-20,1.474,1.23
2019-08-21,1.476,0.91
2019-08-22,1.478,1.32
2019-08-23,1.479,0.91
2019-08-26,1.468,1.33
2019-08-27,1.49,1.62
2019-08-28,1.49,0.88
2019-08-29,1.494,1.06
2019-08-30,1.482,1.02
2019-09-02,1.516,1.37
2019-09-03,1.524,1.12
2019-09-04,1.547,1.51
2019-09-05,1.557,2.51
2019-09-06,1.561,1.12
2019-09-09,1.591,1.6
2019-09-10,1.59,1.36
2019-09-11,1.583,1.16
2019-09-12,1.587,1.09
2019-09-16,1.588,1.25
2019-09-17,1.555,1.33
2019-09-18,1.556,0.98
2019-09-19,1.57,1.02
2019-09-20,1.573,1.22
2019-09-23,1.566,1.3
2019-09-24,1.567,1.47
2019-09-25,1.542,1.22
2019-09-26,1.507,1.86
2019-09-27,1.514,1.05
2019-09-30,1.493,1.0
2019-10-08,1.496,1.02
2019-10-09,1.509,1.11
2019-10-10,1.526,1.18
2019-10-11,1.534,1.42
2019-10-14,1.551,1.32
2019-10-15,1.532,0.77
2019-10-16,1.523,0.82
2019-10-17,1.524,0.68
2019-10-18,1.503,1.04
2019-10-21,1.5,0.98
2019-10-22,1.514,1.09
2019-10-23,1.505,0.74
2019-10-24,1.502,1.1
2019-10-25,1.515,1.31
2019-10-28,1.535,1.95
2019-10-29,1.517,1.04
2019-10-30,1.498,1.17
2019-10-31,1.49,0.87
2019-11-01,1.504,1.24
2019-11-04,1.508,1.26
2019-11-05,1.52,1.45
2019-11-06,1.506,1.29
2019-11-07,1.516,1.12
2019-11-08,1.511,1.37
2019-11-11,1.476,1.52
2019-11-12,1.477,1.28
2019-11-13,1.477,0.86
2019-11-14,1.485,0.99
2019-11-15,1.476,0.88
2019-11-18,1.482,0.83
2019-11-19,1.506,1.3
2019-11-20,1.496,1.45
2019-11-21,1.498,0.77
2019-11-22,1.483,1.62
2019-11-25,1.484,1.1
2019-11-26,1.479,1.14
2019-11-27,1.486,1.11
2019-11-28,1.483,0.89
2019-11-29,1.483,1.57
2019-12-02,1.488,1.07
2019-12-03,1.494,1.19
2019-12-04,1.491,0.91
2019-12-05,1.505,1.35
2019-12-06,1.52,1.17
2019-12-09,1.523,1.22
2019-12-10,1.53,1.07
2019-12-11,1.524,0.81
2019-12-12,1.521,1.03
2019-12-13,1.542,1.81
2019-12-16,1.566,1.69
2019-12-17,1.591,1.73
2019-12-18,1.589,1.28
2019-12-19,1.593,1.01
2019-12-20,1.578,1.54
2019-12-23,1.542,1.73
2019-12-24,1.565,1.24
2019-12-25,1.572,1.33
2019-12-26,1.584,1.15
2019-12-27,1.571,1.06
